occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
      Economists,19-3011,17.6,17.8,0.2,1.2,115440.0,Master's degree,0.9,0.43,Economists,Medium,19,Life & Social Science,5.0,0.4341274689472613,0.8333333333333333,0.6337304011402973,False,Growing,0.55,0.54
      Survey researchers,19-3022,8.8,8.3,-0.5,-5.2,63380.0,Master's degree,0.7,0.23,Survey researchers,Low,19,Life & Social Science,5.0,0.16911016086336797,0.8333333333333333,0.5012217470983507,False,Declining,0.56,0.5
        Industrial-organizational psychologists,19-3032,5.6,5.9,0.3,6.3,109840.0,Master's degree,0.4,0.012,Industrial-organizational psychologists,Low,19,Life & Social Science,5.0,0.405620036652413,0.8333333333333333,0.6194766849928731,False,Growing,0.39,0.41
"        Psychologists, all other",19-3039,55.3,57.7,2.4,4.3,117580.0,Master's degree,3.9,0.0043,"Psychologists, all other",Low,19,Life & Social Science,5.0,0.44502138057422114,0.8333333333333333,0.6391773569537772,False,Growing,0.39,0.41
      Sociologists,19-3041,3.4,3.6,0.1,3.6,101690.0,Master's degree,0.3,0.059,Sociologists,Low,19,Life & Social Science,5.0,0.3641315414375891,0.8333333333333333,0.5987324373854612,False,Growing,0.48,0.45
      Urban and regional planners,19-3051,44.7,46.2,1.5,3.4,83720.0,Master's degree,3.4,0.13,Urban and regional planners,Low,19,Life & Social Science,5.0,0.2726532274485848,0.8333333333333333,0.552993280390959,False,Growing,0.41,0.47
        Anthropologists and archeologists,19-3091,8.8,9.2,0.3,3.7,64910.0,Master's degree,0.8,0.0077,Anthropologists and archeologists,Low,19,Life & Social Science,5.0,0.17689879861535326,0.8333333333333333,0.5051160659743432,False,Growing,0.48,0.45
        Geographers,19-3092,1.5,1.5,0.0,-3.1,97200.0,Bachelor's degree,0.1,0.25,Geographers,Low,19,Life & Social Science,4.0,0.3412746894726125,0.6666666666666666,0.5039706780696396,False,Declining,0.48,0.45
        Historians,19-3093,3.4,3.5,0.1,2.2,74050.0,Master's degree,0.3,0.44,Historians,Medium,19,Life & Social Science,5.0,0.22342700061087353,0.8333333333333333,0.5283801669721034,False,Growing,0.47,0.41
        Political scientists,19-3094,6.5,6.3,-0.2,-3.1,139380.0,Master's degree,0.5,0.039,Political scientists,Low,19,Life & Social Science,5.0,0.5559967420077377,0.8333333333333333,0.6946650376705354,False,Declining,0.47,0.41
"        Social scientists and related workers, all other",19-3099,40.8,40.1,-0.7,-1.7,100340.0,Bachelor's degree,3.2,0.04,"Social scientists and related workers, all other",Low,19,Life & Social Science,4.0,0.3572592140093668,0.6666666666666666,0.5119629403380167,False,Declining,0.53,0.5
      Biological technicians,19-4021,82.7,85.6,2.9,3.5,52000.0,Bachelor's degree,9.1,0.3,Biological technicians,Medium,19,Life & Social Science,4.0,0.11117898594990835,0.6666666666666666,0.3889228263082875,False,Growing,0.38,0.37
      Chemical technicians,19-4031,57.0,59.0,2.1,3.7,57790.0,Associate's degree,6.7,0.57,Chemical technicians,Medium,19,Life & Social Science,3.0,0.14065363469761757,0.5,0.3203268173488088,False,Growing,0.26,0.23
      Nuclear technicians,19-4051,6.0,5.5,-0.5,-7.7,104240.0,Associate's degree,0.7,0.85,Nuclear technicians,High,19,Life & Social Science,3.0,0.37711260435756466,0.5,0.43855630217878233,False,Declining,0.26,0.42
      Social science research assistants,19-4061,40.6,42.3,1.8,4.4,58040.0,Bachelor's degree,5.2,0.65,Social science research assistants,Medium,19,Life & Social Science,4.0,0.1419262879250662,0.6666666666666666,0.40429647729586643,False,Growing,0.57,0.48
        Forensic science technicians,19-4092,20.7,23.3,2.6,12.8,67440.0,Bachelor's degree,2.9,0.0095,Forensic science technicians,Low,19,Life & Social Science,4.0,0.18977804927713296,0.6666666666666666,0.4282223579718998,False,Growing,0.26,0.42
"        Life, physical, and social science technicians, all other",19-4099,83.2,86.2,2.9,3.5,60130.0,Associate's degree,10.6,0.61,"Life, physical, and social science technicians, all other",Medium,19,Life & Social Science,3.0,0.15256566890653636,0.5,0.32628283445326817,False,Growing,0.26,0.325
"        Educational, guidance, and career counselors and advisors",21-1012,376.3,389.6,13.3,3.5,65140.0,Master's degree,31.0,0.0085,"Educational, guidance, school, and vocational counselors",Low,21,Community & Social Service,5.0,0.178069639584606,0.8333333333333333,0.5057014864589696,False,Growing,0.39,0.42
        Marriage and family therapists,21-1013,77.8,87.7,9.8,12.6,63780.0,Master's degree,7.7,0.014,Marriage and family therapists,Low,21,Community & Social Service,5.0,0.17114640602728567,0.8333333333333333,0.5022398696803094,False,Growing,0.28,0.29
        Rehabilitation counselors,21-1015,91.9,93.2,1.3,1.4,46110.0,Master's degree,10.0,0.0094,Rehabilitation counselors,Low,21,Community & Social Service,5.0,0.08119527591121972,0.8333333333333333,0.4572643046222765,False,Growing,0.28,0.29
"        Child, family, and school social workers",21-1021,399.9,413.3,13.4,3.4,58570.0,Bachelor's degree,35.1,0.028,"Child, family, and school social workers",Low,21,Community & Social Service,4.0,0.14462431276725715,0.6666666666666666,0.4056454897169619,False,Growing,0.28,0.29
        Healthcare social workers,21-1022,193.2,208.1,14.8,7.7,68090.0,Master's degree,18.4,0.0035,Healthcare social workers,Low,21,Community & Social Service,5.0,0.1930869476684993,0.8333333333333333,0.5132101405009163,False,Growing,0.28,0.29
        Mental health and substance abuse social workers,21-1023,136.8,150.1,13.3,9.7,60060.0,Master's degree,13.5,0.0031,Mental health and substance abuse social workers,Low,21,Community & Social Service,5.0,0.15220932600285073,0.8333333333333333,0.492771329668092,False,Growing,0.28,0.29
        Health education specialists,21-1091,71.8,75.0,3.2,4.5,63000.0,Bachelor's degree,7.9,0.045,Health educators,Low,21,Community & Social Service,4.0,0.1671757279576461,0.6666666666666666,0.4169211973121564,False,Growing,0.28,0.33
        Probation officers and correctional treatment specialists,21-1092,92.3,94.8,2.4,2.6,64520.0,Bachelor's degree,7.9,0.25,Probation officers and correctional treatment specialists,Low,21,Community & Social Service,4.0,0.17491345958053348,0.6666666666666666,0.42079006312360007,False,Growing,0.28,0.29
        Social and human service assistants,21-1093,449.6,478.5,28.9,6.4,45120.0,High school diploma or equivalent,50.6,0.13,Social and human service assistants,Low,21,Community & Social Service,1.0,0.07615556913052332,0.16666666666666666,0.12141111789859499,False,Growing,0.33,0.29
      Clergy,21-2011,262.0,264.6,2.6,1.0,60820.0,Bachelor's degree,23.0,0.0081,Clergy,Low,21,Community & Social Service,4.0,0.15607819181429441,0.6666666666666666,0.4113724292404805,False,Growing,0.17,0.22
"      Directors, religious activities and education",21-2021,138.9,141.8,2.9,2.1,54840.0,Bachelor's degree,13.8,0.025,"Directors, religious activities and education",Low,21,Community & Social Service,4.0,0.1256363266137243,0.6666666666666666,0.39615149664019544,False,Growing,0.17,0.22
        Lawyers,23-1011,864.8,900.7,35.9,4.1,151160.0,Doctoral or professional degree,31.5,0.035,Lawyers,Low,23,Legal,6.0,0.6159641620851151,1.0,0.8079820810425575,False,Growing,0.36,0.34
        Judicial law clerks,23-1012,14.5,14.9,0.4,2.5,60400.0,Doctoral or professional degree,1.0,0.41,Judicial law clerks,Medium,23,Legal,6.0,0.15394013439218082,1.0,0.5769700671960905,False,Growing,0.39,0.39
"        Administrative law judges, adjudicators, and hearing officers",23-1021,17.5,17.4,-0.1,-0.7,115230.0,Doctoral or professional degree,0.5,0.64,"Administrative law judges, adjudicators, and hearing officers",Medium,23,Legal,6.0,0.43305844023620443,1.0,0.7165292201181022,False,Declining,0.31,0.27
"        Arbitrators, mediators, and conciliators",23-1022,9.1,9.5,0.4,4.3,67710.0,Bachelor's degree,0.3,0.06,"Arbitrators, mediators, and conciliators",Low,23,Legal,4.0,0.19115251476277742,0.6666666666666666,0.428909590714722,False,Growing,0.37,0.31
"        Judges, magistrate judges, and magistrates",23-1023,27.3,28.0,0.7,2.5,156210.0,Doctoral or professional degree,0.9,0.4,"Judges, magistrate judges, and magistrates",Medium,23,Legal,6.0,0.6416717572795765,1.0,0.8208358786397882,False,Growing,0.31,0.27
      Paralegals and legal assistants,23-2011,376.2,376.8,0.6,0.2,61010.0,Associate's degree,39.3,0.94,Paralegals and legal assistants,High,23,Legal,3.0,0.15704540826715538,0.5,0.3285227041335777,False,Growing,0.39,0.39
"        Title examiners, abstractors, and searchers",23-2093,57.4,58.5,1.1,2.0,54980.0,High school diploma or equivalent,5.4,0.99,"Title examiners, abstractors, and searchers",High,23,Legal,1.0,0.1263490124210955,0.16666666666666666,0.14650783954388108,False,Growing,0.39,0.39
"        Preschool teachers, except special education",25-2011,555.1,578.1,22.9,4.1,37120.0,Associate's degree,65.5,0.0074,"Preschool reachers, except special education",Low,25,Education & Library,3.0,0.035430665852168614,0.5,0.2677153329260843,False,Growing,0.21,0.17
"        Kindergarten teachers, except special education",25-2012,117.2,115.2,-1.9,-1.6,61430.0,Bachelor's degree,12.8,0.15,"Kindergarten teachers, except special education",Low,25,Education & Library,4.0,0.15918346568926897,0.6666666666666666,0.4129250661779678,False,Declining,0.21,0.17
"        Elementary school teachers, except special education",25-2021,1422.7,1394.8,-27.9,-2.0,62340.0,Bachelor's degree,91.0,0.0044,"Elementary school teachers, except special education",Low,25,Education & Library,4.0,0.16381592343718185,0.6666666666666666,0.41524129505192425,False,Declining,0.26,0.32
"        Middle school teachers, except special and career/technical education",25-2022,633.7,621.3,-12.4,-2.0,62970.0,Bachelor's degree,40.5,0.17,"Middle school teachers, except special and career/technical education",Low,25,Education & Library,4.0,0.1670230095703523,0.6666666666666666,0.4168448381185095,False,Declining,0.26,0.32
"        Career/technical education teachers, middle school",25-2023,14.0,13.8,-0.3,-2.0,63620.0,Bachelor's degree,0.9,0.26,"Career/technical education teachers, middle school",Low,25,Education & Library,4.0,0.17033190796171857,0.6666666666666666,0.4184992873141926,False,Declining,0.35,0.39
"        Secondary school teachers, except special and career/technical education",25-2031,1094.5,1076.7,-17.8,-1.6,64580.0,Bachelor's degree,66.2,0.0078,"Secondary school teachers, except special and career/technical education",Low,25,Education & Library,4.0,0.17521889635512114,0.6666666666666666,0.42094278151089387,False,Declining,0.3,0.33
"        Career/technical education teachers, secondary school",25-2032,103.4,101.5,-1.9,-1.8,63910.0,Bachelor's degree,6.2,0.0088,"Career/technical education teachers, secondary school",Low,25,Education & Library,4.0,0.17180818570555897,0.6666666666666666,0.4192374261861128,False,Declining,0.35,0.39
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,40.9,35.3,-5.6,-13.7,59950.0,Bachelor's degree,3.9,0.19,Adult basic and secondary education and literacy teachers and instructors,Low,25,Education & Library,4.0,0.15164935858277337,0.6666666666666666,0.40915801262472,False,Declining,0.34,0.54
      Self-enrichment teachers,25-3021,417.5,433.0,15.5,3.7,45590.0,High school diploma or equivalent,51.4,0.13,Self-enrichment education teachers,Low,25,Education & Library,1.0,0.07854815719812666,0.16666666666666666,0.12260741193239666,False,Growing,0.31,0.41333333333333333
        Archivists,25-4011,9.3,9.7,0.4,3.8,61570.0,Master's degree,1.1,0.76,Archivists,High,25,Education & Library,5.0,0.1598961514966402,0.8333333333333333,0.4966147424149867,False,Growing,0.47,0.44
        Curators,25-4012,15.1,16.2,1.1,7.0,61770.0,Master's degree,1.8,0.0068,Curators,Low,25,Education & Library,5.0,0.16091427407859907,0.8333333333333333,0.49712380370596615,False,Growing,0.47,0.44
        Museum technicians and conservators,25-4013,15.7,16.5,0.8,5.4,47460.0,Bachelor's degree,1.9,0.59,Museum technicians and conservators,Medium,25,Education & Library,4.0,0.08806760333944208,0.6666666666666666,0.37736713500305435,False,Growing,0.37,0.44
      Library technicians,25-4031,78.6,73.2,-5.4,-6.8,39970.0,Postsecondary nondegree award,13.0,0.99,Library technicians,High,25,Education & Library,,0.04993891264508246,0.16666666666666666,0.10830278965587456,True,Declining,0.41500000000000004,0.42000000000000004
      Farm and home management educators,25-9021,12.4,12.1,-0.3,-2.5,58120.0,Master's degree,1.1,0.0075,Farm and home management advisors,Low,25,Education & Library,5.0,0.1423335369578497,0.8333333333333333,0.48783343514559147,False,Declining,0.29,0.3
      Instructional coordinators,25-9031,232.6,235.5,2.9,1.3,74720.0,Master's degree,21.9,0.0042,Instructional coordinators,Low,25,Education & Library,5.0,0.22683771126043575,0.8333333333333333,0.5300855222968845,False,Growing,0.39,0.35
        Art directors,27-1011,135.0,140.7,5.7,4.2,111040.0,Bachelor's degree,12.3,0.023,Art directors,Low,27,Arts & Media,4.0,0.41172877214416614,0.6666666666666666,0.5391977194054164,False,Growing,0.37,0.26
        Craft artists,27-1012,11.6,11.9,0.2,2.1,38480.0,No formal educational credential,1.0,0.035,Craft artists,Low,27,Arts & Media,0.0,0.042353899409488915,0.0,0.021176949704744458,False,Growing,0.22499999999999998,0.2425
"        Fine artists, including painters, sculptors, and illustrators",27-1013,26.5,26.2,-0.3,-1.2,60560.0,Bachelor's degree,2.2,0.042,"Fine artists, including painters, sculptors, and illustrators",Low,27,Arts & Media,4.0,0.15475463245774793,0.6666666666666666,0.41071064956220726,False,Declining,0.27999999999999997,0.33999999999999997
        Special effects artists and animators,27-1014,57.1,58.0,0.9,1.6,99800.0,Bachelor's degree,5.0,0.015,Multimedia artists and animators,Low,27,Arts & Media,4.0,0.35451028303807786,0.6666666666666666,0.5105884748523722,False,Growing,0.49,0.42
        Commercial and industrial designers,27-1021,30.6,31.6,1.0,3.2,79450.0,Bachelor's degree,2.5,0.037,Commercial and industrial designers,Low,27,Arts & Media,4.0,0.25091631032376294,0.6666666666666666,0.4587914884952148,False,Growing,0.35,0.38
        Fashion designers,27-1022,25.7,26.2,0.5,2.0,80690.0,Bachelor's degree,2.3,0.021,Fashion designers,Low,27,Arts & Media,4.0,0.257228670331908,0.6666666666666666,0.4619476684992873,False,Growing,0.35,0.38
        Floral designers,27-1023,43.8,41.2,-2.6,-5.9,36120.0,High school diploma or equivalent,5.1,0.047,Floral designers,Low,27,Arts & Media,1.0,0.030340052942374268,0.16666666666666666,0.09850335980452046,False,Declining,0.14,0.08
        Graphic designers,27-1024,265.9,271.5,5.7,2.1,61300.0,Bachelor's degree,20.0,0.082,Graphic designers,Low,27,Arts & Media,4.0,0.15852168601099573,0.6666666666666666,0.41259417633883116,False,Growing,0.49,0.42
        Interior designers,27-1025,87.1,89.9,2.8,3.2,63490.0,Bachelor's degree,7.8,0.022,Interior designers,Low,27,Arts & Media,4.0,0.16967012828344533,0.6666666666666666,0.41816839747505596,False,Growing,0.37,0.38
        Merchandise displayers and window trimmers,27-1026,193.0,199.3,6.2,3.2,37350.0,High school diploma or equivalent,20.8,0.48,Merchandise displayers and window trimmers,Medium,27,Arts & Media,1.0,0.0366015068214213,0.16666666666666666,0.10163408674404398,False,Growing,0.37,0.38
        Set and exhibit designers,27-1027,31.3,32.0,0.7,2.3,66280.0,Bachelor's degree,2.5,0.0055,Set and exhibit designers,Low,27,Arts & Media,4.0,0.1838729383017715,0.6666666666666666,0.4252698024842191,False,Growing,0.37,0.38
        Actors,27-2011,57.0,57.1,0.2,0.3,,"Some college, no degree",6.3,0.37,Actors,Medium,27,Arts & Media,2.0,0.13793015679087764,0.3333333333333333,0.2356317450621055,False,Growing,0.31,0.31
        Producers and directors,27-2012,167.0,175.2,8.3,4.9,83480.0,Bachelor's degree,12.8,0.022,Producers and directors,Low,27,Arts & Media,4.0,0.2714314803502341,0.6666666666666666,0.4690490735084504,False,Growing,0.37,0.26
        Athletes and sports competitors,27-2021,19.1,20.2,1.0,5.5,62360.0,No formal educational credential,2.1,0.28,Athletes and sports competitors,Low,27,Arts & Media,0.0,0.16391773569537774,0.0,0.08195886784768887,False,Growing,0.23,0.26
        Coaches and scouts,27-2022,306.5,326.0,19.5,6.4,45920.0,Bachelor's degree,41.8,0.013,Coaches and scouts,Low,27,Arts & Media,4.0,0.08022805945835879,0.6666666666666666,0.3734473630625127,False,Growing,0.37,0.36
"        Umpires, referees, and other sports officials",27-2023,19.3,20.4,1.1,5.7,38820.0,High school diploma or equivalent,4.6,0.98,"Umpires, referees, and other sports officials",High,27,Arts & Media,1.0,0.044084707798818984,0.16666666666666666,0.10537568723274282,True,Growing,0.37,0.36
        Dancers,27-2031,12.3,12.9,0.6,4.5,,No formal educational credential,1.8,0.13,Dancers,Low,27,Arts & Media,0.0,0.13793015679087764,0.0,0.06896507839543882,False,Growing,0.19,0.15
        Choreographers,27-2032,4.6,4.9,0.3,6.1,55600.0,High school diploma or equivalent,0.7,0.004,Choreographers,Low,27,Arts & Media,1.0,0.12950519242516798,0.16666666666666666,0.14808592954591732,False,Growing,0.19,0.15
        Music directors and composers,27-2041,47.3,47.2,-0.1,-0.3,63670.0,Bachelor's degree,4.3,0.015,Music directors and composers,Low,27,Arts & Media,4.0,0.17058643860720832,0.6666666666666666,0.4186265526369375,False,Declining,0.28,0.38
        Musicians and singers,27-2042,169.8,171.6,1.8,1.1,,No formal educational credential,19.4,0.074,Musicians and singers,Low,27,Arts & Media,0.0,0.13793015679087764,0.0,0.06896507839543882,False,Growing,0.28,0.38
      Broadcast announcers and radio disc jockeys,27-3011,24.1,22.8,-1.3,-5.5,45680.0,Bachelor's degree,2.3,0.1,Radio and television announcers,Low,27,Arts & Media,4.0,0.07900631236000816,0.6666666666666666,0.37283648951333737,False,Declining,0.47,0.55
      Public relations specialists,27-3031,315.9,331.0,15.0,4.8,69780.0,Bachelor's degree,27.6,0.18,Public relations specialists,Low,27,Arts & Media,4.0,0.2016900834860517,0.6666666666666666,0.43417837507635915,False,Growing,0.43,0.38
        Editors,27-3041,115.8,116.5,0.7,0.6,75260.0,Bachelor's degree,9.8,0.055,Editors,Low,27,Arts & Media,4.0,0.22958664223172467,0.6666666666666666,0.44812665444919564,False,Growing,0.545,0.615
        Technical writers,27-3042,56.4,56.9,0.5,0.9,91670.0,Bachelor's degree,4.5,0.89,Technical writers,High,27,Arts & Media,4.0,0.3131236000814498,0.6666666666666666,0.4898951333740582,False,Growing,0.55,0.68
        Writers and authors,27-3043,135.4,140.3,4.9,3.6,72270.0,Bachelor's degree,13.4,0.038,Writers and authors,Low,27,Arts & Media,4.0,0.2143657096314396,0.6666666666666666,0.44051618814905313,False,Growing,0.55,0.595
        Interpreters and translators,27-3091,75.3,76.6,1.3,1.7,59440.0,Bachelor's degree,6.9,0.38,Interpreters and translators,Medium,27,Arts & Media,4.0,0.14905314599877825,0.6666666666666666,0.40785990633272245,False,Growing,0.59,0.59
        Audio and video technicians,27-4011,92.3,95.4,3.1,3.3,54830.0,Postsecondary nondegree award,7.3,0.55,Audio and video equipment technicians,Medium,27,Arts & Media,,0.12558542048462637,0.16666666666666666,0.1461260435756465,False,Growing,0.35,0.36
        Broadcast technicians,27-4012,24.8,24.2,-0.7,-2.8,53920.0,Associate's degree,1.8,0.74,Broadcast technicians,High,27,Arts & Media,3.0,0.12095296273671349,0.5,0.31047648136835676,False,Declining,0.35,0.36
        Sound engineering technicians,27-4014,16.9,16.6,-0.3,-1.7,66430.0,Postsecondary nondegree award,1.2,0.13,Sound engineering technicians,Low,27,Arts & Media,,0.1846365302382407,0.16666666666666666,0.17565159845245368,False,Declining,0.35,0.36
      Photographers,27-4021,151.2,154.0,2.8,1.8,42520.0,High school diploma or equivalent,12.7,0.021,Photographers,Low,27,Arts & Media,1.0,0.06291997556505805,0.16666666666666666,0.11479332111586235,False,Growing,0.39,0.35
"        Camera operators, television, video, and film",27-4031,36.4,36.9,0.4,1.2,68810.0,Bachelor's degree,2.9,0.6,"Camera operators, television, video, and motion picture",Medium,27,Arts & Media,4.0,0.1967521889635512,0.6666666666666666,0.4317094278151089,False,Growing,0.35,0.36
        Film and video editors,27-4032,43.5,45.2,1.7,4.0,70980.0,Bachelor's degree,3.6,0.31,Film and video editors,Medium,27,Arts & Media,4.0,0.20779881897780492,0.6666666666666666,0.4372327428222358,False,Growing,0.37,0.26
      Chiropractors,29-1011,57.2,62.6,5.4,9.5,79000.0,Doctoral or professional degree,2.8,0.027,Chiropractors,Low,29,Healthcare Practitioners,6.0,0.2486255345143555,1.0,0.6243127672571778,False,Growing,0.2,0.16
"        Dentists, general",29-1021,129.8,135.2,5.4,4.1,172790.0,Doctoral or professional degree,3.9,0.0044,"Dentists, general",Low,29,Healthcare Practitioners,6.0,0.7260741193239666,1.0,0.8630370596619833,False,Growing,0.15,0.21
        Oral and maxillofacial surgeons,29-1022,6.1,6.4,0.3,4.1,,Doctoral or professional degree,0.2,0.0036,Oral and maxillofacial surgeons,Low,29,Healthcare Practitioners,6.0,0.13793015679087764,1.0,0.5689650783954389,False,Growing,0.15,0.21
        Orthodontists,29-1023,5.9,6.2,0.3,4.4,,Doctoral or professional degree,0.2,0.023,Orthodontists,Low,29,Healthcare Practitioners,6.0,0.13793015679087764,1.0,0.5689650783954389,False,Growing,0.15,0.21
        Prosthodontists,29-1024,0.9,0.9,0.0,4.5,,Doctoral or professional degree,0.0,0.055,Prosthodontists,Low,29,Healthcare Practitioners,6.0,0.13793015679087764,1.0,0.5689650783954389,False,Growing,0.15,0.21
      Dietitians and nutritionists,29-1031,90.9,95.9,5.0,5.5,73850.0,Bachelor's degree,6.2,0.0039,Dietitians and nutritionists,Low,29,Healthcare Practitioners,4.0,0.22240887802891465,0.6666666666666666,0.4445377723477906,False,Growing,0.41,0.39
      Optometrists,29-1041,47.8,51.6,3.8,8.0,134830.0,Doctoral or professional degree,2.4,0.14,Optometrists,Low,29,Healthcare Practitioners,6.0,0.5328344532681735,1.0,0.7664172266340867,False,Growing,0.24,0.16
      Pharmacists,29-1051,335.1,350.5,15.4,4.6,137480.0,Doctoral or professional degree,14.2,0.012,Pharmacists,Low,29,Healthcare Practitioners,6.0,0.5463245774791285,1.0,0.7731622887395643,False,Growing,0.33,0.33
      Physician assistants,29-1071,162.7,195.8,33.2,20.4,133260.0,Master's degree,12.0,0.14,Physician assistants,Low,29,Healthcare Practitioners,5.0,0.5248421909997963,0.8333333333333333,0.6790877621665647,False,Growing,0.23,0.23
      Podiatrists,29-1081,9.7,9.9,0.2,1.8,152800.0,Doctoral or professional degree,0.3,0.0046,Podiatrists,Low,29,Healthcare Practitioners,6.0,0.6243127672571778,1.0,0.8121563836285889,False,Growing,0.2,0.16
        Occupational therapists,29-1122,160.0,182.1,22.1,13.8,98340.0,Master's degree,10.2,0.0035,Occupational therapists,Low,29,Healthcare Practitioners,5.0,0.3470779881897781,0.8333333333333333,0.5902056607615557,False,Growing,0.2,0.16
        Physical therapists,29-1123,267.2,296.4,29.3,10.9,101020.0,Doctoral or professional degree,13.2,0.021,Physical therapists,Low,29,Healthcare Practitioners,6.0,0.36072083078802686,1.0,0.6803604153940135,False,Growing,0.28,0.17
        Radiation therapists,29-1124,19.2,19.6,0.4,1.9,101990.0,Associate's degree,0.9,0.34,Radiation therapists,Medium,29,Healthcare Practitioners,3.0,0.36565872531052745,0.5,0.4328293626552637,False,Growing,0.22,0.2
        Recreational therapists,29-1125,16.1,16.6,0.5,3.3,60280.0,Bachelor's degree,1.3,0.0028,Recreational therapists,Low,29,Healthcare Practitioners,4.0,0.1533292608430055,0.6666666666666666,0.40999796375483605,False,Growing,0.2,0.16
        Respiratory therapists,29-1126,139.6,156.4,16.8,12.1,80450.0,Associate's degree,8.8,0.066,Respiratory therapists,Low,29,Healthcare Practitioners,3.0,0.25600692323355734,0.5,0.37800346161677867,False,Growing,0.3,0.26
        Speech-language pathologists,29-1127,187.4,215.5,28.2,15.0,95410.0,Master's degree,13.3,0.0064,Speech-language pathologists,Low,29,Healthcare Practitioners,5.0,0.3321624923640807,0.8333333333333333,0.582747912848707,False,Growing,0.24,0.2
      Veterinarians,29-1131,86.4,94.7,8.3,9.6,125510.0,Doctoral or professional degree,3.0,0.038,Veterinarians,Low,29,Healthcare Practitioners,6.0,0.4853899409488903,1.0,0.7426949704744452,False,Growing,0.14,0.18
      Registered nurses,29-1141,3391.0,3557.1,166.1,4.9,93600.0,Bachelor's degree,189.1,0.009,Registered nurses,Low,29,Healthcare Practitioners,4.0,0.3229484829973529,0.6666666666666666,0.49480757483200977,False,Growing,0.25,0.25
      Audiologists,29-1181,15.8,17.3,1.5,9.5,92120.0,Doctoral or professional degree,0.7,0.0033,Audiologists,Low,29,Healthcare Practitioners,6.0,0.3154143758908573,1.0,0.6577071879454286,False,Growing,0.24,0.2
        Cardiovascular technologists and technicians,29-2031,64.7,66.6,1.9,3.0,67260.0,Associate's degree,3.8,0.23,Cardiovascular technologists and technicians,Low,29,Healthcare Practitioners,3.0,0.18886173895336997,0.5,0.344430869476685,False,Growing,0.3,0.26
        Diagnostic medical sonographers,29-2032,90.0,101.7,11.7,13.0,89340.0,Associate's degree,5.8,0.35,Diagnostic medical sonographers,Medium,29,Healthcare Practitioners,3.0,0.30126247200162903,0.5,0.4006312360008145,False,Growing,0.22,0.2
        Nuclear medicine technologists,29-2033,20.0,20.6,0.6,3.0,97020.0,Associate's degree,0.9,0.13,Nuclear medicine technologists,Low,29,Healthcare Practitioners,3.0,0.3403583791488495,0.5,0.42017918957442474,False,Growing,0.22,0.2
        Dietetic technicians,29-2051,30.9,31.7,0.8,2.5,37040.0,Associate's degree,4.0,0.13,Dietetic technicians,Low,29,Healthcare Practitioners,3.0,0.03502341681938506,0.5,0.2675117084096925,False,Growing,0.3,0.26
        Pharmacy technicians,29-2052,490.4,521.8,31.5,6.4,43460.0,High school diploma or equivalent,49.0,0.92,Pharmacy technicians,High,29,Healthcare Practitioners,1.0,0.0677051517002647,0.16666666666666666,0.11718590918346568,True,Growing,0.3,0.38
        Psychiatric technicians,29-2053,144.5,173.3,28.9,20.0,42590.0,Postsecondary nondegree award,15.9,0.043,Psychiatric technicians,Low,29,Healthcare Practitioners,,0.06327631846874363,0.16666666666666666,0.11497149256770514,False,Growing,0.3,0.26
        Surgical technologists,29-2055,115.6,120.8,5.2,4.5,62830.0,Postsecondary nondegree award,7.0,0.34,Surgical technologists,Medium,29,Healthcare Practitioners,,0.16631032376298108,0.16666666666666666,0.16648849521482387,False,Growing,0.3,0.26
        Veterinary technologists and technicians,29-2056,134.2,146.4,12.2,9.1,45980.0,Associate's degree,14.3,0.029,Veterinary technologists and technicians,Low,29,Healthcare Practitioners,3.0,0.08053349623294645,0.5,0.29026674811647324,False,Growing,0.14,0.12
      Licensed practical and licensed vocational nurses,29-2061,651.4,668.5,17.1,2.6,62340.0,Postsecondary nondegree award,54.4,0.058,Licensed practical and licensed vocational nurses,Low,29,Healthcare Practitioners,,0.16381592343718185,0.16666666666666666,0.16524129505192425,False,Growing,0.22,0.25
"      Opticians, dispensing",29-2081,79.9,82.2,2.3,2.9,46560.0,High school diploma or equivalent,6.8,0.71,"Opticians, dispensing",High,29,Healthcare Practitioners,1.0,0.08348605172062717,0.16666666666666666,0.1250763591936469,True,Growing,0.24,0.26
        Orthotists and prosthetists,29-2091,10.1,11.5,1.3,13.3,78310.0,Master's degree,0.9,0.0035,Orthotists and prosthetists,Low,29,Healthcare Practitioners,5.0,0.24511301160659746,0.8333333333333333,0.5392231724699653,False,Growing,0.18,0.16
        Athletic trainers,29-9091,33.9,37.6,3.8,11.1,60250.0,Master's degree,2.4,0.0071,Athletic trainers,Low,29,Healthcare Practitioners,5.0,0.1531765424557117,0.8333333333333333,0.49325493789452246,False,Growing,0.25,0.38
        Occupational therapy assistants,31-2011,49.2,58.7,9.5,19.2,68340.0,Associate's degree,7.2,0.028,Occupational therapy assistants,Low,31,Healthcare Support,3.0,0.19435960089594786,0.5,0.3471798004479739,False,Growing,0.3,0.26
